snapshot_month,faculty_code,faculty_name,lecturer_count,publication_count_total,citation_count_total,average_h_index,publication_delta_month,citation_delta_month
2025-04,FAPET,FAPET,79,1197,4062,3.57,,
2025-04,FEB,FEB,109,838,5465,2.57,,
2025-04,FH,,71,325,695,1.46,,
2025-04,FIA,,107,687,3769,2.06,,
2025-04,FIB,,51,104,411,0.96,,
2025-04,FIKES,,72,656,2731,2.54,,
2025-04,FILKOM,,103,1098,8811,4.13,,
2025-04,FISIP,FISIP,102,272,2445,1.27,,
2025-04,FK,FK,187,2051,15545,2.88,,
2025-04,FKG,FKG,46,171,507,1.3,,
2025-04,FKH,,48,479,1134,2.25,,
2025-04,FMIPA,FMIPA,139,3518,21084,5.69,,
2025-04,FP,FP,143,1431,11723,3.32,,
2025-04,FPIK,FPIK,157,2275,11382,3.89,,
2025-04,FT,FT,592,2976,18593,1.56,,
2025-04,FTP,FTP,128,1731,14469,4.6,,
2025-04,FV,FV,30,47,407,0.87,,
2025-04,PASCA,Sekolah Pascasarjana,14,5,13,0.14,,
2025-04,Pascasarjana,,3,0,0,0.0,,
2025-05,FAPET,FAPET,79,1230,5058,4.04,33,996
2025-05,FEB,FEB,109,860,5794,2.61,22,329
2025-05,FH,,71,351,777,1.55,26,82
2025-05,FIA,,107,701,4168,2.13,14,399
2025-05,FIB,,51,111,440,1.02,7,29
2025-05,FIKES,,72,667,3053,2.58,11,322
2025-05,FILKOM,,103,1245,9529,4.29,147,718
2025-05,FISIP,FISIP,102,290,2691,1.29,18,246
2025-05,FK,FK,187,2083,17475,2.91,32,1930
2025-05,FKG,FKG,46,188,614,1.59,17,107
2025-05,FKH,,48,505,1239,2.31,26,105
2025-05,FMIPA,FMIPA,139,3576,26068,5.78,58,4984
2025-05,FP,FP,143,1463,12467,3.46,32,744
2025-05,FPIK,FPIK,157,2320,13935,3.99,45,2553
2025-05,FT,FT,592,3069,21987,1.7,93,3394
2025-05,FTP,FTP,128,1819,16363,4.62,88,1894
2025-05,FV,FV,30,50,438,0.87,3,31
2025-05,PASCA,Sekolah Pascasarjana,14,292,4734,4.71,287,4721
2025-05,Pascasarjana,,3,1,57,1.33,1,57
2025-06,FAPET,FAPET,79,1250,5167,3.61,20,109
2025-06,FEB,FEB,109,885,5943,2.66,25,149
2025-06,FH,,71,368,830,1.59,17,53
2025-06,FIA,,107,721,4310,2.22,20,142
2025-06,FIB,,51,118,452,1.02,7,12
2025-06,FIKES,,72,707,3140,2.62,40,87
2025-06,FILKOM,,103,1251,9688,4.28,6,159
2025-06,FISIP,FISIP,102,300,2912,1.38,10,221
2025-06,FK,FK,187,2125,17816,3.01,42,341
2025-06,FKG,FKG,46,188,636,1.63,0,22
2025-06,FKH,,48,508,1286,2.33,3,47
2025-06,FMIPA,FMIPA,139,3626,26432,5.85,50,364
2025-06,FP,FP,143,1479,12671,3.53,16,204
2025-06,FPIK,FPIK,157,2369,14325,4.06,49,390
2025-06,FT,FT,592,3101,22450,1.57,32,463
2025-06,FTP,FTP,128,1830,16659,4.66,11,296
2025-06,FV,FV,30,53,446,0.9,3,8
2025-06,PASCA,Sekolah Pascasarjana,14,297,5927,5.14,5,1193
2025-06,Pascasarjana,,3,1,62,1.33,0,5
2025-07,FAPET,FAPET,79,1333,5682,3.9,83,515
2025-07,FEB,FEB,109,911,6116,2.71,26,173
2025-07,FH,,71,376,853,1.65,8,23
2025-07,FIA,,107,747,4470,2.31,26,160
2025-07,FIB,,51,120,469,0.98,2,17
2025-07,FIKES,,72,722,3221,2.64,15,81
2025-07,FILKOM,,103,1269,9814,4.34,18,126
2025-07,FISIP,FISIP,102,314,2969,1.43,14,57
2025-07,FK,FK,187,2149,18126,3.02,24,310
2025-07,FKG,FKG,46,189,660,1.65,1,24
2025-07,FKH,,48,534,1434,2.52,26,148
2025-07,FMIPA,FMIPA,139,3676,26886,5.91,50,454
2025-07,FP,FP,143,1492,12898,3.59,13,227
2025-07,FPIK,FPIK,157,2444,14820,4.21,75,495
2025-07,FT,FT,592,3209,23155,1.61,108,705
2025-07,FTP,FTP,128,1862,16940,4.75,32,281
2025-07,FV,FV,30,55,451,0.93,2,5
2025-07,PASCA,Sekolah Pascasarjana,14,305,6029,5.29,8,102
2025-07,Pascasarjana,,3,1,64,1.33,0,2
2025-08,FAPET,FAPET,79,1361,5907,3.95,28,225
2025-08,FEB,FEB,109,957,6431,2.82,46,315
2025-08,FH,,71,383,922,1.77,7,69
2025-08,FIA,,107,785,4717,2.39,38,247
2025-08,FIB,,51,129,516,1.04,9,47
2025-08,FIKES,,72,728,3364,2.68,6,143
2025-08,FILKOM,,103,1300,10118,4.42,31,304
2025-08,FISIP,FISIP,102,337,3062,1.53,23,93
2025-08,FK,FK,187,2172,18580,3.07,23,454
2025-08,FKG,FKG,46,195,689,1.67,6,29
2025-08,FKH,,48,542,1516,2.6,8,82
2025-08,FMIPA,FMIPA,139,3749,27464,5.91,73,578
2025-08,FP,FP,143,1527,13514,3.69,35,616
2025-08,FPIK,FPIK,157,2518,15801,4.36,74,981
2025-08,FT,FT,592,3314,23941,1.65,105,786
2025-08,FTP,FTP,128,1902,17468,4.83,40,528
2025-08,FV,FV,30,77,525,1.13,22,74
2025-08,PASCA,Sekolah Pascasarjana,14,317,6214,5.43,12,185
2025-08,Pascasarjana,,3,2,65,1.33,1,1
2025-09,FAPET,FAPET,79,1370,6007,3.97,9,100
2025-09,FEB,FEB,109,979,6557,2.87,22,126
2025-09,FH,,71,398,963,1.85,15,41
2025-09,FIA,,107,798,4840,2.46,13,123
2025-09,FIB,,51,134,531,1.08,5,15
2025-09,FIKES,,72,736,3472,2.75,8,108
2025-09,FILKOM,,103,1316,10272,4.46,16,154
2025-09,FISIP,FISIP,102,342,3106,1.53,5,44
2025-09,FK,FK,187,2200,19101,3.16,28,521
2025-09,FKG,FKG,46,196,705,1.67,1,16
2025-09,FKH,,48,544,1572,2.62,2,56
2025-09,FMIPA,FMIPA,139,3820,28027,6.04,71,563
2025-09,FP,FP,143,1549,13796,3.76,22,282
2025-09,FPIK,FPIK,157,2548,16156,4.43,30,355
2025-09,FT,FT,592,3342,24324,1.67,28,383
2025-09,FTP,FTP,128,1942,17932,4.91,40,464
2025-09,FV,FV,30,82,539,1.27,5,14
2025-09,PASCA,Sekolah Pascasarjana,14,320,6281,5.5,3,67
2025-09,Pascasarjana,,3,2,65,1.33,0,0
2025-10,FAPET,FAPET,79,1402,6170,4.03,32,163
2025-10,FEB,FEB,109,1013,6782,2.96,34,225
2025-10,FH,,71,412,988,1.86,14,25
2025-10,FIA,,107,808,5008,2.52,10,168
2025-10,FIB,,51,136,557,1.16,2,26
2025-10,FIKES,,72,752,3542,2.76,16,70
2025-10,FILKOM,,103,1331,10399,4.49,15,127
2025-10,FISIP,FISIP,102,348,3196,1.6,6,90
2025-10,FK,FK,187,2243,19492,3.21,43,391
2025-10,FKG,FKG,46,201,721,1.67,5,16
2025-10,FKH,,48,560,1660,2.71,16,88
2025-10,FMIPA,FMIPA,139,3873,28542,6.09,53,515
2025-10,FP,FP,143,1561,14053,3.8,12,257
2025-10,FPIK,FPIK,157,2635,16587,4.57,87,431
2025-10,FT,FT,592,3375,24902,1.69,33,578
2025-10,FTP,FTP,128,1964,18290,4.97,22,358
2025-10,FV,FV,30,83,558,1.33,1,19
2025-10,PASCA,Sekolah Pascasarjana,14,323,6376,5.5,3,95
2025-10,Pascasarjana,,3,2,66,1.33,0,1
2025-11,FAPET,FAPET,79,1423,6290,4.06,21,120
2025-11,FEB,FEB,109,1039,6971,3.02,26,189
2025-11,FH,,71,416,1028,1.87,4,40
2025-11,FIA,,107,824,5150,2.57,16,142
2025-11,FIB,,51,137,567,1.16,1,10
2025-11,FIKES,,72,756,3615,2.85,4,73
2025-11,FILKOM,,103,1344,10653,4.57,13,254
2025-11,FISIP,FISIP,102,350,3212,1.57,2,16
2025-11,FK,FK,187,2308,19840,3.24,65,348
2025-11,FKG,FKG,46,202,734,1.67,1,13
2025-11,FKH,,48,571,1759,2.79,11,99
2025-11,FMIPA,FMIPA,139,3909,28657,6.15,36,115
2025-11,FP,FP,143,1632,14402,3.85,71,349
2025-11,FPIK,FPIK,157,2685,17226,4.64,50,639
2025-11,FT,FT,592,3411,25316,1.7,36,414
2025-11,FTP,FTP,128,1995,18676,5.04,31,386
2025-11,FV,FV,30,84,571,1.33,1,13
2025-11,PASCA,Sekolah Pascasarjana,14,327,6471,5.64,4,95
2025-11,Pascasarjana,,3,2,66,1.33,0,0
2025-12,FAPET,FAPET,79,1515,6554,4.2,92,264
2025-12,FEB,FEB,109,1062,7220,3.06,23,249
2025-12,FH,,71,430,1097,1.96,14,69
2025-12,FIA,,107,849,5312,2.63,25,162
2025-12,FIB,,51,142,593,1.16,5,26
2025-12,FIKES,,72,761,3719,2.86,5,104
2025-12,FILKOM,,103,1372,10850,4.61,28,197
2025-12,FISIP,FISIP,102,356,3281,1.61,6,69
2025-12,FK,FK,187,2350,20307,3.29,42,467
2025-12,FKG,FKG,46,206,753,1.76,4,19
2025-12,FKH,,48,582,1868,2.88,11,109
2025-12,FMIPA,FMIPA,139,3947,29589,6.22,38,932
2025-12,FP,FP,143,1672,14776,3.93,40,374
2025-12,FPIK,FPIK,157,2736,17997,4.75,51,771
2025-12,FT,FT,592,3473,25918,1.73,62,602
2025-12,FTP,FTP,128,1997,18676,5.04,2,0
2025-12,FV,FV,30,85,583,1.37,1,12
2025-12,PASCA,Sekolah Pascasarjana,14,333,6616,5.79,6,145
2025-12,Pascasarjana,,3,2,66,1.33,0,0
2026-01,FAPET,FAPET,84,1782,6727,4.1,267,173
2026-01,FEB,FEB,148,1320,7316,2.28,258,96
2026-01,FH,,106,474,1264,1.45,44,167
2026-01,FIA,,138,915,5458,2.07,66,146
2026-01,FIB,,136,157,622,0.49,15,29
2026-01,FIKES,,74,883,3836,2.86,122,117
2026-01,FILKOM,,109,2033,11018,4.42,661,168
2026-01,FISIP,FISIP,187,616,4808,1.01,260,1527
2026-01,FK,FK,244,3042,22737,2.76,692,2430
2026-01,FKG,FKG,59,295,1144,1.75,89,391
2026-01,FKG UB,,16,0,0,0.0,,
2026-01,FKH,,53,654,1964,2.77,72,96
2026-01,FMIPA,FMIPA,154,5558,31082,5.95,1611,1493
2026-01,FP,FP,162,2066,15113,3.62,394,337
2026-01,FPIK,FPIK,157,3180,17899,4.72,444,-98
2026-01,FT,FT,254,5309,29421,4.23,1836,3503
2026-01,FTP,FTP,128,2539,19723,5.18,542,1047
2026-01,FV,FV,61,88,595,0.67,3,12
2026-01,MIPA,,1,0,0,0.0,,
2026-01,PASCA,Sekolah Pascasarjana,14,468,6746,5.79,135,130
2026-02,FAPET,FAPET,84,1833,7006,4.19,51,279
2026-02,FEB,FEB,148,1328,7449,2.34,8,133
2026-02,FH,,106,510,1387,1.54,36,123
2026-02,FIA,,138,951,5750,2.14,36,292
2026-02,FIB,,136,157,632,0.5,0,10
2026-02,FIKES,,74,899,3971,2.92,16,135
2026-02,FILKOM,,109,2059,11122,4.46,26,104
2026-02,FISIP,FISIP,187,629,4879,1.03,13,71
2026-02,FK,FK,244,3081,23114,2.79,39,377
2026-02,FKG,FKG,59,297,1175,1.8,2,31
2026-02,FKG UB,,16,0,0,0.0,0,0
2026-02,FKH,,53,667,2044,2.87,13,80
2026-02,FMIPA,FMIPA,154,5633,31660,6.03,75,578
2026-02,FP,FP,162,2105,15637,3.72,39,524
2026-02,FPIK,FPIK,157,3260,18497,4.79,80,598
2026-02,FT,FT,254,5577,32425,4.43,268,3004
2026-02,FTP,FTP,128,2590,20242,5.35,51,519
2026-02,FV,FV,61,95,621,0.72,7,26
2026-02,MIPA,,1,0,0,0.0,0,0
2026-02,PASCA,Sekolah Pascasarjana,14,483,6892,6.0,15,146
2026-03,FAPET,FAPET,84,1883,7241,4.27,50,235
2026-03,FEB,FEB,148,1379,7881,2.48,51,432
2026-03,FH,,106,522,1489,1.58,12,102
2026-03,FIA,,138,1010,6080,2.24,59,330
2026-03,FIB,,136,167,678,0.54,10,46
2026-03,FIKES,,74,914,4079,2.96,15,108
2026-03,FILKOM,,109,2068,11378,4.47,9,256
2026-03,FISIP,FISIP,187,635,4961,1.05,6,82
2026-03,FK,FK,244,3151,23773,2.84,70,659
2026-03,FKG,FKG,59,298,1190,1.83,1,15
2026-03,FKG UB,,16,0,0,0.0,0,0
2026-03,FKH,,53,685,2115,2.96,18,71
2026-03,FMIPA,FMIPA,154,5685,32189,6.1,52,529
2026-03,FP,FP,162,2130,15883,3.78,25,246
2026-03,FPIK,FPIK,157,3330,18971,4.85,70,474
2026-03,FT,FT,254,5644,33045,4.48,67,620
2026-03,FTP,FTP,128,2606,20591,5.41,16,349
2026-03,FV,FV,61,96,654,0.75,1,33
2026-03,MIPA,,1,0,0,0.0,0,0
2026-03,PASCA,Sekolah Pascasarjana,14,490,7084,6.29,7,192
